origin,destination,herb_road,herb_rail,wood_road,wood_rail
6025,28,124.644,902.23,115.384,896.645
6025,29,165.134,1484.04,151.651,1477.95
6025,30,171.522,902.23,162.262,896.645
6025,31,102.58,902.23,93.3193,896.645
6025,32,98.1889,982.657,88.9284,977.072
6025,33,247.195,902.23,237.935,896.645
6025,34,155.749,267.508,140.586,255.646
6025,35,385.015,1121.23,280.185,1553.24
6025,36,323.667,982.657,314.406,977.072
6025,37,137.049,1121.23,127.789,1115.64
6025,38,84.1951,1215.12,121.598,1255.5
6025,39,67.5587,655.662,58.2982,650.077
6025,40,63.404,358.599,54.1435,353.014
6025,41,145.43,267.508,132.856,255.646
6025,42,108.581,749.284,99.3203,743.699
6025,43,127.038,749.284,117.778,743.699
6025,44,69.5847,699.063,60.3243,693.478
6025,45,57.0215,699.063,47.761,693.478
6027,9,357.018,253.872,331.169,197.022
6027,10,338.537,197.022,291.85,197.022
6027,11,364.9,305.945,318.212,305.945
6027,12,265.025,0.0,148.554,0.0
6027,13,197.585,0.0,81.1137,0.0
6027,14,345.112,197.022,298.424,197.022
6027,15,401.726,305.945,374.186,0.0
6027,16,486.591,0.0,370.12,0.0
6027,17,343.864,74.1901,297.177,74.1901
6027,18,235.486,0.0,188.799,0.0
6027,19,361.428,596.65,314.74,596.65
6027,20,398.367,368.641,395.312,0.0
6027,21,391.953,681.536,478.514,0.0
6027,22,423.535,368.641,446.159,0.0
6027,23,443.581,681.536,530.142,0.0
6027,24,477.304,368.641,430.617,368.641
