origin,destination,km,km_road,km_rail,km_pipe
15,70,928.542,91.9399,349.685,439.237
15,71,912.822,91.9399,349.685,425.368
15,72,913.028,91.9399,349.685,424.19
15,73,909.966,91.9399,349.685,420.863
15,74,335.922,122.745,62.6963,141.082
15,75,232.17,91.7618,139.553,0.0
15,76,158.555,93.9678,62.6963,0.0
15,77,260.294,92.0031,62.6963,98.1307
15,78,688.328,411.385,62.6963,206.425
15,79,1071.8,97.8861,349.685,580.718
15,80,279.735,110.749,62.6963,98.1307
15,81,313.269,99.1005,62.6963,138.735
15,82,914.653,93.2281,349.685,424.19
15,83,914.17,91.9399,349.685,426.048
15,84,1035.01,167.413,349.685,446.257
15,85,241.196,100.173,62.6963,69.7601
16,1,1111.58,97.6837,286.989,686.537
16,2,368.984,97.6837,0.0,264.064
16,3,1173.06,97.6837,286.989,749.075
16,4,1088.27,98.45,286.989,673.391
16,5,1268.74,97.6837,286.989,844.736
16,6,1107.27,97.6837,286.989,679.198
16,7,1112.39,97.6837,286.989,685.085
16,8,1100.71,97.6837,286.989,676.612
16,9,1112.39,97.6837,286.989,685.085
16,10,1119.57,97.6837,286.989,694.818
16,11,1140.2,97.6837,286.989,703.998
16,12,1268.87,97.6837,286.989,844.782
16,13,1162.51,97.6837,286.989,710.321
16,14,1134.46,97.6837,286.989,698.463
16,15,1115.81,97.6837,286.989,679.894
16,16,438.748,97.6837,0.0,329.665
16,17,468.888,97.6837,0.0,364.359
16,18,305.604,97.6837,0.0,204.93
16,19,396.825,97.6837,0.0,295.654
16,20,703.998,413.621,0.0,286.15
16,21,420.961,97.6837,0.0,319.884
16,22,422.398,97.6837,0.0,321.408
16,23,1162.34,97.6837,286.989,739.014
16,24,365.047,97.6837,0.0,260.172
16,25,306.974,97.6837,0.0,205.571
16,26,421.707,97.6837,0.0,320.907
16,27,1109.15,97.6837,286.989,684.811
16,28,799.401,97.6837,0.0,673.391
16,29,1126.59,97.6837,286.989,703.369
16,30,1172.86,97.6837,286.989,749.431
16,31,305.893,97.6837,0.0,205.153
16,32,422.382,97.6837,0.0,321.408
16,33,1114.93,97.6837,286.989,690.125
16,34,893.144,186.424,0.0,673.391
16,35,782.168,97.6837,0.0,673.391
16,36,282.541,97.6837,0.0,178.638
16,37,1140.05,97.6837,286.989,710.321
16,38,1134.96,97.6837,286.989,700.739
16,39,422.33,97.6837,0.0,320.972
16,40,467.989,97.6837,0.0,362.012
16,41,386.839,97.6837,0.0,286.15
16,42,623.514,97.6837,0.0,522.88
16,43,1258.79,97.6837,286.989,834.155
16,44,1129.7,97.6837,286.989,702.001
16,45,466.85,97.6837,0.0,364.359
16,46,302.865,97.6837,0.0,195.648
16,47,1424.84,97.6837,286.989,993.9
16,48,1172.99,97.6837,286.989,749.077
16,49,1298.29,97.6837,286.989,873.192
16,50,1109.11,97.6837,286.989,685.259
16,51,1112.93,97.6837,286.989,685.556
16,52,369.021,97.6837,0.0,264.006
16,53,413.92,97.6837,0.0,307.196
16,54,421.917,97.6837,0.0,319.922
16,55,1116.76,97.6837,286.989,690.112
16,56,1116.39,97.6837,286.989,690.125
16,57,422.713,97.6837,0.0,321.408
16,58,391.064,97.6837,0.0,290.324
16,59,306.844,97.6837,0.0,205.432
16,60,466.489,97.6837,0.0,364.359
16,61,364.599,97.6837,0.0,260.071
16,62,1111.6,97.6837,286.989,686.595
16,63,1177.42,97.6837,286.989,749.637
