origin,destination,km,km_road,km_rail,km_pipe
6,22,495.808,19.1426,0.0,446.775
6,23,436.994,19.1426,286.989,65.6235
6,24,466.138,19.1426,0.0,413.219
6,25,553.295,19.1426,0.0,503.849
6,26,495.117,19.1426,0.0,446.274
6,27,383.798,19.1426,286.989,11.4201
6,28,23.1583,19.1426,0.0,0.0
6,29,401.241,19.1426,286.989,29.9786
6,30,447.517,19.1426,286.989,76.0405
6,31,553.05,19.1426,0.0,504.267
6,32,495.792,19.1426,0.0,446.775
6,33,389.581,19.1426,286.989,16.7347
6,34,99.9953,94.4855,0.0,0.0
6,35,56.8207,19.1426,0.0,0.0
6,36,560.186,19.1426,0.0,508.24
6,37,414.705,19.1426,286.989,36.9302
6,38,409.612,19.1426,286.989,27.3486
6,39,495.741,19.1426,0.0,446.339
6,40,541.399,19.1426,0.0,487.38
6,41,664.484,19.1426,0.0,615.752
6,42,199.188,19.1426,0.0,150.511
6,43,533.44,19.1426,286.989,160.765
6,44,404.353,19.1426,286.989,28.6099
6,45,540.26,19.1426,0.0,489.726
6,46,533.003,19.1426,0.0,477.743
6,47,699.498,19.1426,286.989,320.509
6,48,447.645,19.1426,286.989,75.6864
6,49,572.944,19.1426,286.989,199.802
6,50,383.765,19.1426,286.989,11.8681
6,51,387.582,19.1426,286.989,12.1653
6,52,462.444,19.1426,0.0,409.385
6,53,456.991,19.1426,0.0,402.224
6,54,495.328,19.1426,0.0,445.289
6,55,391.412,19.1426,286.989,16.7214
6,56,391.046,19.1426,286.989,16.7347
6,57,496.123,19.1426,0.0,446.775
6,58,467.88,19.1426,0.0,419.097
6,59,553.445,19.1426,0.0,503.989
6,60,539.899,19.1426,0.0,489.726
6,61,465.891,19.1426,0.0,413.32
6,62,386.256,19.1426,286.989,13.2039
6,63,452.077,19.1426,286.989,76.2464
6,64,441.061,19.1426,286.989,36.9302
6,65,381.806,19.1426,286.989,5.24632
6,66,469.267,19.1426,0.0,418.922
6,67,384.653,19.1426,286.989,10.8105
6,68,512.658,19.1426,0.0,456.438
6,69,57.6269,19.1426,0.0,0.0
6,70,406.243,19.1426,286.989,29.9103
6,71,390.523,19.1426,286.989,16.0417
6,72,390.729,19.1426,286.989,14.8631
6,73,387.667,19.1426,286.989,11.5363
6,74,571.594,49.9475,0.0,489.726
6,75,557.063,22.6345,0.0,503.989
6,76,465.016,21.1242,0.0,409.385
6,77,495.966,19.2058,0.0,446.775
6,78,984.683,338.587,0.0,615.752
6,79,549.504,25.0888,286.989,171.391
6,80,515.407,37.9512,0.0,446.775
